ID,0 to 0.5 km,0.5 to 1 km,1 to 1.5 km,1.5 to 2 km,2 to 2.5 km,2.5 to 3 km,3 to 3.5 km,3.5 to 4 km,4 to 4.5 km,4.5 to 5 km,5 to 5.5 km,5.5 to 6 km,6 to 6.5 km,6.5 to 7 km,7 to 7.5 km,7.5 to 8 km,8 to 8.5 km,8.5 to 9 km,9 to 9.5 km,9.5 to 10 km,>10 km
674,13,41,64,64,47,37,30,35,11,5,10,17,3,5,7,2,3,2,2,2,8
688,9,34,52,60,59,52,44,30,12,13,16,6,9,2,2,4,1,2,0,0,1
833,6,39,63,71,57,42,32,18,19,14,13,9,6,4,3,4,2,2,0,0,4
907,8,37,62,67,58,37,29,22,24,16,13,4,7,6,7,2,0,2,0,2,5
982,7,44,49,64,58,44,34,29,17,14,12,12,5,5,2,3,3,0,0,4,2
296,1,35,53,59,44,41,37,30,24,23,17,17,4,3,3,3,2,1,2,1,7
396,7,42,56,59,62,37,25,24,23,18,8,10,6,9,5,4,1,2,1,3,5
582,4,52,55,64,55,46,25,20,21,10,14,10,9,4,1,3,1,2,0,3,8
787,7,33,42,74,61,30,37,27,27,19,7,10,9,6,3,4,4,1,0,1,5
94,4,30,66,72,65,46,19,17,13,13,13,6,10,7,2,4,5,1,4,0,9
175,10,53,50,75,53,29,21,23,24,18,13,5,10,5,5,6,1,0,0,1,4
260,5,52,53,73,51,30,25,26,32,13,10,9,8,7,3,2,1,0,0,3,3
272,6,43,51,56,57,37,38,26,13,14,10,17,9,7,0,5,4,0,0,2,11
500,5,31,59,50,57,38,22,30,26,12,20,13,7,6,3,6,4,2,3,0,12
816,6,32,48,72,52,35,22,29,25,15,18,11,5,6,9,2,4,2,3,2,8
880,12,45,62,64,48,33,23,23,29,10,17,5,7,7,3,9,3,0,0,0,6
960,8,38,59,77,45,39,25,27,27,18,15,10,3,2,2,4,1,0,0,1,5
156,10,45,57,71,41,40,26,31,16,18,8,5,9,5,6,1,4,0,1,1,10
169,9,34,54,65,61,38,31,25,21,10,14,9,6,5,4,3,3,1,0,2,10
283,14,38,67,65,64,31,24,24,18,13,13,6,7,7,4,2,3,0,1,2,2
522,8,32,65,75,44,47,32,28,17,13,7,7,7,4,6,4,1,2,0,1,5
658,10,33,65,53,51,50,39,25,12,14,8,12,5,4,8,2,1,1,1,2,9
799,11,42,65,77,46,37,27,23,24,15,7,5,2,9,3,4,1,0,0,1,6
3,10,42,53,51,54,34,43,27,19,10,12,11,5,8,1,7,1,2,1,0,13
32,6,43,67,59,36,43,23,28,17,23,11,7,7,4,5,9,3,2,3,1,7
120,10,35,52,53,45,42,32,28,24,16,13,7,8,4,6,5,2,5,1,2,14
415,13,51,69,60,57,40,21,21,12,17,8,9,4,2,2,4,3,0,4,1,6
473,5,29,52,71,51,48,26,20,25,18,13,9,11,6,4,4,2,1,1,1,7
515,6,37,65,55,58,50,35,23,21,11,12,7,4,3,3,1,3,2,1,2,5
568,1,32,61,66,52,57,25,29,26,11,8,7,6,5,5,3,4,0,0,2,4
751,12,45,41,58,47,54,25,26,24,15,14,10,7,5,3,5,1,3,0,1,8
440,6,44,64,65,49,35,20,35,21,17,9,4,6,5,4,1,3,5,0,3,7
732,12,40,49,60,51,34,37,21,21,19,12,8,3,5,7,6,3,1,1,1,12
142,6,45,62,52,36,38,30,25,31,12,16,13,7,8,5,0,1,5,0,1,9
528,6,34,49,72,43,39,29,30,24,15,14,5,8,8,5,7,3,2,1,0,8
6,8,41,62,83,40,40,25,16,19,11,14,5,9,10,5,4,0,1,1,0,7
70,10,47,56,65,50,32,26,28,18,15,12,5,6,3,7,2,2,2,0,3,11
224,9,54,65,48,45,37,34,23,16,9,10,11,4,10,6,2,1,1,0,1,14
298,7,36,59,55,54,40,34,23,19,20,13,5,6,7,5,3,2,1,2,0,9
456,10,41,51,46,60,36,32,26,17,21,17,8,7,6,6,4,1,3,0,1,7
463,5,27,51,75,50,41,30,23,22,13,14,10,6,12,9,4,2,1,0,0,5
611,6,25,50,63,56,38,28,36,28,20,13,12,12,3,2,1,2,0,2,1,2
734,11,32,62,54,70,38,23,27,20,17,11,10,11,4,4,0,0,0,1,0,5
749,10,35,65,62,53,44,19,27,12,14,12,14,10,4,3,3,3,0,0,1,9
903,6,45,58,71,32,49,35,19,22,14,14,7,3,4,5,0,4,0,1,3,8
39,12,30,61,80,49,32,36,26,15,19,11,10,5,3,0,3,3,0,0,0,4
64,16,51,72,58,50,34,21,23,17,10,8,6,8,3,3,0,0,0,0,1,18
185,4,41,60,60,47,49,29,18,10,10,20,15,10,4,1,3,1,6,1,3,7
357,13,29,58,64,52,38,30,19,24,11,15,9,9,5,4,9,2,0,2,1,5
405,11,35,65,51,57,45,32,23,23,11,14,6,8,2,2,1,2,0,1,0,10
417,6,38,58,71,51,47,22,18,19,16,13,9,6,9,5,3,2,1,0,1,4
592,6,50,50,67,39,40,27,23,24,17,9,6,4,10,4,3,2,1,2,0,15
904,8,42,55,54,45,38,33,31,21,18,13,9,5,2,3,4,5,3,1,0,8
994,2,40,60,58,57,39,26,28,18,21,10,7,7,5,6,6,2,0,0,2,4
1490,10,45,61,73,61,35,19,28,14,12,11,6,6,2,7,1,4,1,0,0,2
54,8,32,65,57,55,35,24,22,25,20,11,4,9,10,3,3,1,1,0,1,11
392,6,33,50,52,57,38,33,30,19,14,14,7,9,6,10,2,4,2,3,2,6
652,3,31,56,71,49,49,18,29,26,17,10,7,3,4,1,5,2,1,5,2,8
757,14,41,61,61,45,42,26,29,20,12,10,7,7,8,5,3,1,2,1,0,2
990,16,41,65,52,55,32,20,19,25,11,20,10,8,4,4,0,3,1,2,2,7
133,7,35,60,76,54,42,21,25,13,13,13,9,6,4,1,2,2,1,0,4,8
171,4,50,53,64,46,36,32,23,23,16,8,11,6,5,4,3,2,2,0,1,7
324,11,43,60,45,37,43,34,28,26,16,10,9,5,9,6,5,1,3,1,1,3
